รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,ประเภท,อ.1 ชาย,อ.1 หญิง,รวมอ.1,อ.2 ชาย,อ.2 หญิง,รวมอ.2,อ.3 ชาย,อ.3 หญิง,รวมอ.3,รวมอนุบาล ชาย,รวมอนุบาล หญิง,รวมอนุบาล,ป.1 ชาย,ป.1 หญิง,รวมป.1,ป.2 ชาย,ป.2 หญิง,รวมป.2,ป.3 ชาย,ป.3 หญิง,รวมป.3,ป.4 ชาย,ป.4 หญิง,รวมป.4,ป.5 ชาย,ป.5 หญิง,รวมป.5,ป.6 ชาย,ป.6 หญิง,รวมป.6,รวมประถม ชาย,รวมประถม หญิง,รวมประถม,ม.1 ชาย,ม.1 หญิง,รวมม.1,ม.2 ชาย,ม.2 หญิง,รวมม.2,ม.3 ชาย,ม.3 หญิง,รวมม.3,รวมม.ต้น ชาย,รวมม.ต้น หญิง,รวมม.ต้น,ม.4 ชาย,ม.4 หญิง,รวมม.4,ม.5 ชาย,ม.5 หญิง,รวมม.5,ม.6 ชาย,ม.6 หญิง,รวมม.6,ปวช.1 ชาย,ปวช.1 หญิง,รวมปวช.1,ปวช.2 ชาย,ปวช.2 หญิง,รวมปวช.2,ปวช.3 ชาย,ปวช.3 หญิง,รวมปวช.3,รวมม.ปลายและเทียบเท่า ชาย,รวมม.ปลายและเทียบเท่า หญิง,รวมม.ปลายและเทียบเท่า,รวมทั้งหมด ชาย,รวมทั้งหมด หญิง,รวมทั้งหมด
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,นักเรียนทั้งหมด,0,0,0,26,24,50,31,28,59,57,52,109,36,36,72,21,36,57,24,24,48,28,28,56,23,23,46,24,29,53,156,176,332,18,19,37,24,18,42,15,28,43,57,65,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,293,563
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ไทย,0,0,0,5,16,21,11,9,20,16,25,41,10,8,18,9,15,24,12,10,22,10,14,24,11,9,20,18,17,35,70,73,143,12,9,21,12,10,22,9,15,24,33,34,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,132,251
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,กัมพูชา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,เกาหลีใต้,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,จีน,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ซาอุดีอาระเบีย,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ญี่ปุ่น,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,เนปาล,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,ปากีสถาน,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030000,สพป.เชียงราย เขต 3,57030129,บ้านพญาไพร,เมียนมา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
